기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,11650540,잠원동,6387215,3128257,3258957,1035423,929278,1145543,1336808,960846,979315,934373,957078,970621,954808,943418,850164,776755
20241,11650550,반포본동,325268,165881,159389,59050,39894,48554,66520,51355,59896,47303,48131,50582,48230,48215,43613,39193
20241,11650560,반포1동,6738936,3322406,3416531,1022330,1101637,1450711,1396934,846842,920484,973230,987153,998877,991010,977049,930091,881526
20241,11650570,반포2동,1629523,741189,888334,431048,158460,203648,331333,231289,273743,231449,233642,239682,234826,234090,228537,227297
20241,11650580,반포3동,3452389,1563937,1888453,846157,363788,424122,663273,543683,611365,485850,485636,498354,488323,501399,505040,487788
20241,11650581,반포4동,5662832,2626221,3036610,1532892,477606,721984,1148938,788653,992759,822896,833347,834615,832797,825303,774570,739302
20241,11650590,방배본동,4135989,1883642,2252346,856779,430464,518353,828331,640426,861637,592159,601236,599779,599048,591337,576134,576297
20241,11650600,방배1동,4361990,1986757,2375233,745637,601446,790300,780759,596871,846976,633472,646784,649482,645556,624919,584050,577729
20241,11650610,방배2동,5089050,2322303,2766748,806300,716401,848323,829551,747757,1140717,722400,731868,740454,738269,740184,725448,690425
20241,11650620,방배3동,3392260,1567282,1824978,591355,417148,476477,566147,558031,783103,487879,501154,497729,495775,481454,459428,468842
20241,11650621,방배4동,6560061,2978787,3581274,1227231,820936,999785,1202877,973798,1335435,950354,957318,967804,953778,949879,895779,885149
20241,11650651,양재1동,8364160,4194112,4170049,1345399,1041752,1624209,1648165,1161782,1542852,1238104,1293052,1311178,1281171,1223493,1006936,1010226
20241,11650652,양재2동,5805253,3035925,2769329,698852,844929,1261641,1173862,887970,938000,857805,874178,893768,875524,845473,734433,724072
20241,11650660,내곡동,1892683,922473,970208,563565,149801,238515,328772,228699,383331,273049,275732,273812,275725,269791,259591,264982
20241,11680510,신사동,6870400,3215739,3654662,762859,1358770,1513194,1370614,894586,970377,975269,1030245,1066600,1033103,1048711,923655,792816
20241,11680521,논현1동,10076879,4850353,5226526,635018,2297104,2664668,1996531,1202411,1281149,1478312,1546331,1585321,1541363,1502671,1260108,1162773
20241,11680531,논현2동,11844233,5905319,5938914,1153571,2090985,2901536,2556344,1551454,1590343,1759657,1886090,1926662,1872767,1775598,1377169,1246287
20241,11680545,압구정동,7425954,3393000,4032954,978104,1318456,1490405,1482072,986086,1170832,1032013,1093831,1125503,1103893,1133739,1039917,897055
20241,11680565,청담동,8946042,4182719,4763323,1102968,1385344,1850140,1851723,1325551,1430318,1257886,1347625,1393939,1355787,1339407,1192331,1059069
20241,11680580,삼성1동,4611790,2320719,2291072,553870,686160,1035969,1001697,665297,668796,673171,703035,740091,722990,695785,557484,519233
20241,11680590,삼성2동,9315802,4624946,4690856,1492898,1286136,1868642,2064029,1301548,1302550,1381450,1444643,1462541,1436125,1365878,1128272,1096893
20241,11680600,대치1동,4933775,2372207,2561570,2104729,348544,336262,956016,595725,592501,698649,708637,696465,705949,702933,726947,694198
20241,11680610,대치2동,6360173,3408789,2951384,1939216,710893,944665,1231360,788877,745162,933945,967642,994789,959319,929067,808309,767101
